id,name,title,company,seniority_tier,industry_vertical,icp_score,source,linkedin_url,email,company_size,funding_stage,persona_summary,context_hook,personalization_themes,confidence_flag,assigned_to,outreach_status,in_sequence
64,"Mabel ChackoCo-founder & COO, Open Financial Technologies",Mabel Chacko,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
65,"Deena JacobCo-founder & CFO, Open Financial Technologies",Deena Jacob,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
66,"Anish AchuthanCo-founder & CEO, Open Financial Technologies",Anish Achuthan,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
67,"Ajeesh AchuthanCo-founder & CTO, Open Financial Technologies",Ajeesh Achuthan,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
68,"Shivaarti BajajFounding Managing Partner, RSD Bajaj Global Law Firm",Shivaarti Bajaj,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
69,"Varun BajajFounding Managing Partner, RSD Bajaj Global Law Firm",Varun Bajaj,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
70,"Debolina BiswasLead - YS Life, YourStory",Debolina Biswas,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
71,"Rajiv KhaitanSenior Partner, Khaitan & Co",Rajiv Khaitan,,Manager/IC,DeepTech/AI,2,scraped_techsparks2024,,,,,,,,,,pending,FALSE
72,"Kanishk SinghAssistant Editor, YourStory",Kanishk Singh,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
73,"Naveen TewariFounder & CEO, InMobi Group",Naveen Tewari,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
74,"Baskar  SubramanianCo-founder & CEO, Amagi Media Labs",Baskar  Subramanian,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
75,"Phani Kishan AddepalliCo-founder & CGO, Swiggy",Phani Kishan Addepalli,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
76,"Rohit KapoorCEO - Food Marketplace, Swiggy",Rohit Kapoor,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
77,"Ankit JhingranDirector Engineering, JCPenney India",Ankit Jhingran,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
78,"Divya KrishnamurthySenior Technical Architect, Microsoft Technology Center, India",Divya Krishnamurthy,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
79,"Souparno BagchiCOO, Balancehero India",Souparno Bagchi,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
80,"Takahisa OhiraHead of Asia Region, Deloitte Tohmatsu Venture Support",Takahisa Ohira,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
81,"Rajat PanditHead of Customer Engineering - Digital Natives, Google Cloud",Rajat Pandit,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
82,"Amit PurohitProgram Manager, iStart Rajasthan",Amit Purohit,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
83,"Madanmohan RaoResearch Director, YourStory",Madanmohan Rao,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
84,"Ashish VohraHead of Startups, Databricks",Ashish Vohra,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
85,"Raj MohanFounder Director,	Sustainable Green Initiative",Raj Mohan,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
86,"Pratyush Kumar PandaSectoral expert ESG (CSR and Sustainability), Founder Basudev Panda Foundation",Pratyush Kumar Panda,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
87,"Arpit ChugChief Financial Officer, Razorpay",Arpit Chug,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
88,"Shahid ShaikhHead - Digital Natives and Unicorn Business, SAP India",Shahid Shaikh,,Manager/IC,DeepTech/AI,2,scraped_techsparks2024,,,,,,,,,,pending,FALSE
89,"Vaibhav TewariCo-founder & CEO, Portea Medical",Vaibhav Tewari,,Manager/IC,DeepTech/AI,2,scraped_techsparks2024,,,,,,,,,,pending,FALSE
90,"Saurabh	OdhyanCTO- Consumer,	Freshtohome",Saurabh	Odhyan,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
91,"Kaushik DasVice President & Managing Director, JCPenney India",Kaushik Das,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
92,"Rakesh RavuriCTO & Engineering leader, Publicis Sapient",Rakesh Ravuri,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
93,"Ipsita BasuDirector - Creative Content, YourStory",Ipsita Basu,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
94,"Roopa KumarFounder & Group CEO, Purple Quarter",Roopa Kumar,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
95,"Ronnie ScrewvalaCo-founder, upGrad & Swades Foundation",Ronnie Screwvala,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
96,"Pooja GulrajaniHead of Engineering, PhonePe",Pooja Gulrajani,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
97,"Sravanthi PasumarthiDirector - Consumer Payments Growth, PhonePe",Sravanthi Pasumarthi,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
98,"Priya PatankarHead of Corporate Communications, Phonepe",Priya Patankar,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
99,"Nidhi GuptaHead of Product - Payments, PhonePe",Nidhi Gupta,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
100,"Atul AgarwalRegional Vice President and Country Manager, India Okta",Atul Agarwal,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
101,"Yogesh AgarwalFounder & CEO, Locomo",Yogesh Agarwal,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
102,"Sanjay KoppikarCo-founder & Chief Product Officer, EvoluteIQ",Sanjay Koppikar,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
103,"Brajesh DeManaging Director, Blue Altair",Brajesh De,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
104,"Ankur PalChief Data Scientist, Aplazo",Ankur Pal,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
105,"Vishal GuptaCEO, PhonePe Insurance",Vishal Gupta,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
106,"Rohan KharaChief Product Officer, BharatPe",Rohan Khara,,Manager/IC,Other,1,scraped_techsparks2024,,,,,,,,,,pending,FALSE
